pair	ts	grade	bbw_pct_now	amp_24h	win4h	bucket
DOGE/USDT	2023-01-01 17:15:00+00:00	A	0.05763888888888889	0.06692406692406697	2023-01-01 16:00:00+00:00	[0.05,0.10)
BTC/USDT	2023-01-02 03:45:00+00:00	B	0.615625	0.010790460174505544	2023-01-02 00:00:00+00:00	[0.50,0.75)
ADA/USDT	2023-01-02 07:00:00+00:00	B	0.8006944444444445	0.018124507486209585	2023-01-02 04:00:00+00:00	[0.75,1.00]
BTC/USDT	2023-01-03 14:30:00+00:00	A	0.18055555555555555	0.018723516000811746	2023-01-03 12:00:00+00:00	[0.10,0.25)
AVAX/USDT	2023-01-03 16:00:00+00:00	B	0.7881944444444444	0.07832898172323763	2023-01-03 16:00:00+00:00	[0.75,1.00]
LTC/USDT	2023-01-04 01:00:00+00:00	A	0.48055555555555557	0.04810591165290341	2023-01-04 00:00:00+00:00	[0.25,0.50)
AVAX/USDT	2023-01-04 07:30:00+00:00	B	0.815625	0.05108877721943059	2023-01-04 04:00:00+00:00	[0.75,1.00]
LINK/USDT	2023-01-04 13:45:00+00:00	A	0.1388888888888889	0.03374655647382915	2023-01-04 12:00:00+00:00	[0.10,0.25)
ETH/USDT	2023-01-04 17:30:00+00:00	B	0.6975694444444445	0.019705056735065094	2023-01-04 16:00:00+00:00	[0.50,0.75)
DOGE/USDT	2023-01-05 05:45:00+00:00	B	0.8184027777777778	0.06597222222222222	2023-01-05 04:00:00+00:00	[0.75,1.00]
ETH/USDT	2023-01-05 11:45:00+00:00	A	0.32743055555555556	0.015924707980667405	2023-01-05 08:00:00+00:00	[0.25,0.50)
XRP/USDT	2023-01-06 13:30:00+00:00	B	0.3871527777777778	0.03441115396024918	2023-01-06 12:00:00+00:00	[0.25,0.50)
BTC/USDT	2023-01-06 19:30:00+00:00	B	0.8086805555555555	0.009144778041662287	2023-01-06 16:00:00+00:00	[0.75,1.00]
BNB/USDT	2023-01-07 00:45:00+00:00	B	0.7166666666666667	0.012922843025465515	2023-01-07 00:00:00+00:00	[0.50,0.75)
ADA/USDT	2023-01-08 00:00:00+00:00	A	0.2378472222222222	0.09352517985611518	2023-01-08 00:00:00+00:00	[0.10,0.25)
SOL/USDT	2023-01-08 08:45:00+00:00	A	0.5520833333333334	0.2637766348273328	2023-01-08 08:00:00+00:00	[0.50,0.75)
BNB/USDT	2023-01-08 15:30:00+00:00	B	0.74375	0.06502835538752359	2023-01-08 12:00:00+00:00	[0.50,0.75)
XRP/USDT	2023-01-08 23:00:00+00:00	B	0.4795138888888889	0.041618160651920776	2023-01-08 20:00:00+00:00	[0.25,0.50)
ADA/USDT	2023-01-09 00:45:00+00:00	B	0.9868055555555556	0.11413914716255198	2023-01-09 00:00:00+00:00	[0.75,1.00]
DOGE/USDT	2023-01-09 09:30:00+00:00	B	0.6746527777777778	0.07757941716986103	2023-01-09 08:00:00+00:00	[0.50,0.75)
XRP/USDT	2023-01-11 04:30:00+00:00	B	0.7131944444444445	0.07601351351351358	2023-01-11 04:00:00+00:00	[0.50,0.75)
ETH/USDT	2023-01-11 18:00:00+00:00	B	0.8222222222222222	0.07280906240457588	2023-01-11 16:00:00+00:00	[0.75,1.00]
ADA/USDT	2023-01-11 23:30:00+00:00	B	0.8048611111111111	0.06127527216174182	2023-01-11 20:00:00+00:00	[0.75,1.00]
SOL/USDT	2023-01-12 00:30:00+00:00	B	0.8774305555555556	0.08763505402160869	2023-01-12 00:00:00+00:00	[0.75,1.00]
ADA/USDT	2023-01-12 13:30:00+00:00	B	0.7270833333333333	0.047169811320754755	2023-01-12 12:00:00+00:00	[0.50,0.75)
BNB/USDT	2023-01-12 17:30:00+00:00	B	0.8427083333333333	0.024125874125874046	2023-01-12 16:00:00+00:00	[0.75,1.00]
